D,RV_RETURN_VALUE_IGNORED_INFERRED,2,17,maven-dependency-plugin,NO_FIELD,applyDependencyManagementDfs(Ljava/util/Map;Lorg/eclipse/aether/graph/DependencyNode;)V,af98e585a57d5405902b32a722f91a2073971cd5,f23ac37bcbee4a6162ff3ce2ff1b5fd1a30bcbe0,src/main/java/org/apache/maven/plugins/dependency/tree/VerboseDependencyGraphBuilder.java,170,170,d3141e44772eecfcf781a95480eda989173ad222,src/main/java/org/apache/maven/plugins/dependency/tree/VerboseDependencyGraphBuilder.java
I,DM_DEFAULT_ENCODING,1,19,maven-dependency-plugin,NO_FIELD,readClasspathFile()Ljava/lang/String;,af98e585a57d5405902b32a722f91a2073971cd5,814664b397324cc80202b3f923248cb0a1212baa,src/main/java/org/apache/maven/plugins/dependency/fromDependencies/BuildClasspathMojo.java,369,369,a3f10c51381fafcfdae9560e1135bea5ae5363ac,src/main/java/org/apache/maven/plugins/dependency/fromDependencies/BuildClasspathMojo.java
C,UWF_UNWRITTEN_FIELD,2,12,maven-dependency-plugin,markersDirectory,NO_METHOD,f7b1731d67f4655b849248f9670a22dd663910cf,f7b1731d67f4655b849248f9670a22dd663910cf,src/main/java/org/apache/maven/plugin/dependency/fromConfiguration/UnpackMojo.java,101,101,0c46143da69d3365e1c55525f71e20ddbaca9703,src/main/java/org/apache/maven/plugin/dependency/fromConfiguration/UnpackMojo.java
V,EI_EXPOSE_REP2,2,18,maven-dependency-plugin,skippedDependencies,setSkippedDependencies(Ljava/util/Set;)V,b4572351fe5b25906e961febd4aa1fc48966cda3,c115fda2f80b4a562ac86d4a39b2aa476eb66042,src/main/java/org/apache/maven/plugin/dependency/utils/DependencyStatusSets.java,85,85,f0caccb38ec56771b21a7b26f442e49ae290ac95,src/main/java/org/apache/maven/plugin/dependency/utils/DependencyStatusSets.java
P,SIC_INNER_SHOULD_BE_STATIC,2,18,maven-dependency-plugin,NO_FIELD,NO_METHOD,30f058f420f51fa782f2acc30cd7212d82905663,b32fcc3e58699e94b8deec80791013c69d7e7676,src/main/java/org/apache/maven/plugins/dependency/PurgeLocalRepositoryMojo.java,298,310,05e4193ce41d507c2457c2769ce9593635c1d768,src/main/java/org/apache/maven/plugins/dependency/PurgeLocalRepositoryMojo.java
C,RCN_REDUNDANT_NULLCHECK_WOULD_HAVE_BEEN_A_NPE,2,11,maven-dependency-plugin,NO_FIELD,isUpdToDate(Ljava/lang/String;)Z,54d95f7b21b47c7318a84f9a296ba9caa0889ac7,54d95f7b21b47c7318a84f9a296ba9caa0889ac7,src/main/java/org/apache/maven/plugin/dependency/fromDependencies/BuildClasspathMojo.java,332,332,07369da348fe55dd8e4907367c62a5d72380e47d,src/main/java/org/apache/maven/plugin/dependency/fromDependencies/BuildClasspathMojo.java
V,EI_EXPOSE_REP2,2,18,maven-dependency-plugin,resolvedDependencies,setResolvedDependencies(Ljava/util/Set;)V,b4572351fe5b25906e961febd4aa1fc48966cda3,c115fda2f80b4a562ac86d4a39b2aa476eb66042,src/main/java/org/apache/maven/plugin/dependency/utils/DependencyStatusSets.java,68,68,f0caccb38ec56771b21a7b26f442e49ae290ac95,src/main/java/org/apache/maven/plugin/dependency/utils/DependencyStatusSets.java
D,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,20,maven-dependency-plugin,project,checkDependencyManagement()Z,22887ed6f2aa04c2ccb79dd5c4a17cf6dc12d983,f5fab12be70287c7e2aeb48ed7085c99a42a1276,src/main/java/org/apache/maven/plugin/dependency/AnalyzeDepMgt.java,161,161,00595800dc13ddd5f61c5e8edf5d683484b03b30,src/main/java/org/apache/maven/plugin/dependency/analyze/AnalyzeDepMgt.java
I,DM_CONVERT_CASE,3,20,maven-dependency-plugin,NO_FIELD,unpack(Ljava/io/File;Ljava/io/File;Lorg/codehaus/plexus/archiver/manager/ArchiverManager;Lorg/apache/maven/plugin/logging/Log;)V,2a879f4dc7d9f6215199f08771a1aea9bd2dbbf8,2a879f4dc7d9f6215199f08771a1aea9bd2dbbf8,src/main/java/org/apache/maven/plugin/dependency/utils/DependencyUtil.java,128,128,c431032a5a47944bfb6b1d89f63625826d7f5899,src/main/java/org/apache/maven/plugin/dependency/utils/DependencyUtil.java
D,UWF_FIELD_NOT_INITIALIZED_IN_CONSTRUCTOR,3,20,maven-dependency-plugin,factory,resolveArtifactDependencies(Lorg/apache/maven/artifact/Artifact;)Ljava/util/Set;,ea3da708150a3a30f6abb9b28ef0577e4514fabb,6790d3b5720e0fea98bf629c240ac755996f642c,src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java,93,93,fe66f40da1dbfaea3dd5fe41749e4ad7980f45f7,src/main/java/org/apache/maven/plugin/dependency/AbstractDependencyMojo.java
